iter	MultiClass
0	1.03283323
1	0.9787695201
2	0.9353957576
3	0.899147338
4	0.8701316525
5	0.8433432717
6	0.8208446027
7	0.8031768303
8	0.7869995846
9	0.7727897284
10	0.7610355289
11	0.7499688594
12	0.7405392026
13	0.7315688899
14	0.7230311495
15	0.7157246099
16	0.7095012931
17	0.7036519989
18	0.6985691646
19	0.6934412426
20	0.6885594544
21	0.6851272494
22	0.6810029579
23	0.6771643053
24	0.6726769755
25	0.669011337
26	0.6661654323
27	0.6635379124
28	0.6607679537
29	0.658471254
30	0.656320779
31	0.6540176841
32	0.6518546401
33	0.6494158097
34	0.6475416783
35	0.6458053555
36	0.6439481572
37	0.6419544904
38	0.6400437232
39	0.6383098921
40	0.6363742562
41	0.6342373612
42	0.6323238607
43	0.6307106635
44	0.6298736368
45	0.628389718
46	0.62742793
47	0.6262938242
48	0.6250086983
49	0.6237144706
50	0.6224218316
51	0.6211997577
52	0.6201909892
53	0.6191241426
54	0.6177559986
55	0.6165961432
56	0.6152975075
57	0.614425572
58	0.6128638588
59	0.6119954132
60	0.6109650235
61	0.610175576
62	0.60867058
63	0.6075216948
64	0.6062943255
65	0.6052812578
66	0.6046619702
67	0.6035736482
68	0.6027810871
69	0.6020666639
70	0.6013317922
71	0.6007128423
72	0.5998468986
73	0.5986153561
74	0.5975759344
75	0.596970197
76	0.5963408253
77	0.5957759062
78	0.5949906907
79	0.5942431936
80	0.5935458933
81	0.5927025904
82	0.592272234
83	0.591166812
84	0.5904715494
85	0.5895603413
86	0.5889420123
87	0.588346059
88	0.5878652278
89	0.5872331597
90	0.5867916431
91	0.5861592301
92	0.5855515596
93	0.5852515144
94	0.5844572537
95	0.5837893179
96	0.5833733613
97	0.5827420847
98	0.582182048
99	0.5815503081
100	0.5812179232
101	0.5808061236
102	0.5804675465
103	0.5800223528
104	0.5790079239
105	0.5784315704
106	0.5775975497
107	0.5769030923
108	0.5765422669
109	0.5757550072
110	0.5752494547
111	0.5748875137
112	0.5744341489
113	0.5741181847
114	0.5737736627
115	0.5731022675
116	0.5726484803
117	0.5720491161
118	0.5713440252
119	0.5711282553
120	0.570529912
121	0.570067139
122	0.5695984225
123	0.5691231169
124	0.5687194727
125	0.568255075
126	0.567694834
127	0.5672635957
128	0.5667995153
129	0.5663067934
130	0.5656835282
131	0.565097226
132	0.5646294111
133	0.5642271691
134	0.563738211
135	0.5631915357
136	0.5620887503
137	0.5614527717
138	0.5610061239
139	0.5604124494
140	0.5597931064
141	0.5593650862
142	0.5589154612
143	0.5584416454
144	0.5578012621
145	0.5572101462
146	0.5566286106
147	0.55620182
