iter	Passed	Remaining
0	66	66683
1	74	37048
2	81	26956
3	87	21713
4	95	18990
5	103	17102
6	109	15523
7	115	14344
8	123	13545
9	131	12999
10	138	12414
11	143	11854
12	150	11416
13	157	11117
14	166	10938
15	173	10689
16	180	10437
17	186	10191
18	194	10059
19	202	9922
20	209	9758
21	215	9564
22	222	9456
23	230	9387
24	238	9283
25	244	9166
26	251	9060
27	258	8989
28	266	8908
29	272	8813
30	278	8714
31	286	8654
32	292	8579
33	299	8517
34	306	8438
35	311	8354
36	318	8291
37	325	8251
38	333	8224
39	339	8156
40	346	8096
41	354	8081
42	362	8069
43	369	8024
44	376	7982
45	382	7937
46	389	7897
47	397	7886
48	403	7833
49	409	7788
50	416	7745
51	424	7744
52	431	7718
53	439	7694
54	445	7646
55	452	7622
56	460	7626
57	467	7595
58	474	7568
59	480	7522
60	487	7497
61	493	7470
62	501	7462
63	508	7436
64	515	7414
65	523	7404
66	530	7393
67	538	7381
68	546	7373
69	555	7383
70	566	7406
71	571	7368
72	577	7338
73	584	7314
74	593	7317
75	599	7288
76	606	7264
77	612	7234
78	618	7210
79	626	7209
80	633	7189
81	639	7163
82	645	7134
83	653	7129
84	662	7133
85	669	7113
86	675	7091
87	682	7072
88	691	7075
89	700	7086
90	707	7066
91	713	7039
92	720	7027
93	728	7024
94	735	7003
95	741	6981
96	747	6961
97	754	6942
98	761	6933
99	768	6913
100	774	6891
101	779	6865
102	787	6861
103	794	6848
104	802	6841
105	809	6826
106	816	6816
107	826	6823
108	833	6810
109	839	6792
110	846	6777
111	854	6774
112	862	6770
113	868	6752
114	874	6733
115	881	6715
116	888	6708
117	896	6704
118	902	6684
119	908	6662
120	915	6648
121	922	6637
122	930	6631
123	935	6610
124	941	6587
125	947	6569
126	955	6568
127	962	6556
128	968	6536
129	973	6518
130	980	6504
131	987	6495
132	995	6489
133	1002	6478
134	1008	6462
135	1015	6450
136	1023	6450
137	1031	6442
138	1037	6427
139	1044	6414
140	1051	6406
141	1059	6399
142	1065	6387
143	1071	6372
144	1078	6362
145	1086	6356
146	1094	6349
147	1100	6334
148	1105	6316
149	1113	6312
150	1122	6309
151	1129	6300
152	1135	6287
153	1142	6276
154	1149	6266
155	1157	6264
156	1165	6255
157	1172	6245
158	1177	6228
159	1186	6231
160	1194	6227
161	1202	6219
162	1208	6205
163	1217	6204
164	1225	6203
165	1232	6192
166	1238	6179
167	1246	6171
168	1255	6172
169	1262	6164
170	1269	6152
171	1275	6138
172	1283	6134
173	1292	6134
174	1298	6121
175	1305	6110
176	1311	6099
177	1321	6103
178	1328	6093
179	1334	6081
180	1343	6077
181	1351	6075
182	1360	6074
183	1367	6065
184	1373	6051
185	1380	6042
186	1388	6038
187	1395	6027
188	1401	6014
